time,h1_bot
1.41,1613.66
1.42,1633.7
1.43,1655.38
1.44,1675.34
1.45,1695.71
1.46,1718.22
1.47,1738.52
1.48,1758.94
1.49,1783.24
1.5,1804.91
1.51,1826.32
1.52,1848.13
1.53,1872.44
1.54,1894.21
1.55,1917.7
1.56,1938.46
1.57,1962.28
1.58,1986.99
1.59,2010.35
1.6,2032.56
1.61,2059.1
1.62,2080.2
1.63,2104.95
1.64,2128.69
1.65,2154.78
1.66,2177.77
1.67,2203.78
1.68,2228.8
1.69,2254.3
1.7,2280.59
1.71,2304.7
1.72,2330.64
1.73,2356.2
1.74,2383.92
1.75,2410.2
1.76,2437.19
1.77,2463.55
1.78,2490.96
1.79,2519.77
1.8,2547.02
1.81,2574.16
1.82,2603.32
1.83,2631.36
1.84,2660.69
1.85,2687.23
1.86,2716.2
1.87,2746.02
1.88,2773.8
1.89,2805.77
1.9,2834.71
1.91,2868.88
1.92,2898.59
1.93,2927.57
1.94,2960.82
1.95,2989.42
1.96,3022.02
1.97,3052.49
1.98,3084.84
1.99,3115.59
2,3148.89
2.01,3180.94
2.02,3215.98
2.03,3248.51
2.04,3283.88
2.05,3318.96
2.06,3354.16
2.07,3386.25
2.08,3420.23
2.09,3456.12
2.1,3490.47
2.11,3526.73
2.12,3562.33
2.13,3599.78
2.14,3634.75
2.15,3672.21
2.16,3710.55
2.17,3745.77
2.18,3787.43
2.19,3823.3
2.2,3862.84
2.21,3898.31
2.22,3937.08
2.23,3977.79
2.24,4017.54
2.25,4058.04
2.26,4097.45
2.27,4138.8
2.28,4181.72
2.29,4224.2
2.3,4264.42
2.31,4305.73
2.32,4348.26
2.33,4391.48
2.34,4433.69
2.35,4477.56
2.36,4522.39
2.37,4566.53
2.38,4611.49
2.39,4654.78
2.4,4702.29
2.41,4743.67
2.42,4792.65
2.43,4838.98
2.44,4885.33
2.45,4931.09
2.46,4979.04
2.47,5026.45
2.48,5076.7
2.49,5123.17
2.5,5172.52
2.51,5222.76
2.52,5273.1
2.53,5321.33
2.54,5373.07
2.55,5422.77
2.56,5472.79
2.57,5526.54
2.58,5576.09
2.59,5629.47
2.6,5681.42
2.61,5738.14
2.62,5786.78
2.63,5842.99
2.64,5896.29
2.65,5952.01
2.66,6008.03
2.67,6062.74
2.68,6118.24
2.69,6173.19
2.7,6229.84
2.71,6286.7
2.72,6344.47
2.73,6403.4
2.74,6461.07
2.75,6520.22
2.76,6580.06
2.77,6640
2.78,6700
2.79,6758.27
2.8,6819.44
2.81,6878.51
2.82,6941.23
2.83,7002.63
2.84,7065.36
2.85,7130.5
2.86,7194.19
2.87,7255.29
2.88,7319.96
2.89,7386.99
2.9,7449.69
2.91,7514.66
2.92,7582.25
2.93,7648.66
2.94,7712.93
2.95,7779.54
2.96,7846.95
2.97,7913.89
2.98,7984.75
2.99,8051.81
3,8122.63
3.01,8193.41
3.02,8263.27
3.03,8332.69
3.04,8404.33
3.05,8474.42
3.06,8545.26
3.07,8617.79
3.08,8690.89
3.09,8764.17
3.1,8837.39
3.11,8910.15
3.12,8984.81
3.13,9061.01
3.14,9134.25
3.15,9211.06
3.16,9285.57
3.17,9363.64
3.18,9441.07
3.19,9518.73
3.2,9594.81
3.21,9674.91
3.22,9752.44
3.23,9831.42
3.24,9910.13
3.25,9989.06
3.26,10072.36
3.27,10153.56
3.28,10233.38
3.29,10312.86
3.3,10398.6
3.31,10480.86
3.32,10564.23
3.33,10646.07
3.34,10729.66
3.35,10815.09
3.36,10896.9
3.37,10982.68
3.38,11067.53
3.39,11156.04
3.4,11242.52
3.41,11332.27
3.42,11418.42
3.43,11504.61
3.44,11592.02
3.45,11682.24
3.46,11771.83
3.47,11860.44
3.48,11952.46
3.49,12040.45
3.5,12132.58
3.51,12224.93
3.52,12314.51
3.53,12406.68
3.54,12500.66
3.55,12592.1
3.56,12687.1
3.57,12781.63
3.58,12875.81
3.59,12970.32
3.6,13065.58
3.61,13161.75
3.62,13257.08
3.63,13353.1
3.64,13451.49
3.65,13547.36
3.66,13645.78
3.67,13744.6
3.68,13841.69
3.69,13940.96
3.7,14039.36
3.71,14140.14
3.72,14242.95
3.73,14343.99
3.74,14443.6
3.75,14545.76
3.76,14648.13
3.77,14752.32
3.78,14852.8
3.79,14956.25
3.8,15060.41
3.81,15164.52
3.82,15271.05
3.83,15376.06
3.84,15479.19
3.85,15587.89
3.86,15694.92
3.87,15800.74
3.88,15909.77
3.89,16018.59
3.9,16125.97
3.91,16235.06
3.92,16342.82
3.93,16455.84
3.94,16563.81
3.95,16673.48
3.96,16784.08
3.97,16893.89
3.98,17007.94
3.99,17119.8
4,17232.4
4.01,17344.17
4.02,17461.34
4.03,17572.61
4.04,17686.79
4.05,17802.24
4.06,17920.09
4.07,18034.83
4.08,18148.02
4.09,18265.34
4.1,18384.82
4.11,18500.9
4.12,18618.51
4.13,18735.71
4.14,18854.76
4.15,18973.14
4.16,19094.24
4.17,19213.23
4.18,19332.65
4.19,19454.11
4.2,19577.82
4.21,19695.94
4.22,19819.52
4.23,19940.77
4.24,20068.14
4.25,20192.89
4.26,20315.52
4.27,20437.56
4.28,20562.06
4.29,20688.11
4.3,20813.87
4.31,20940.28
4.32,21066.78
4.33,21192.09
4.34,21320.23
4.35,21447
4.36,21576.04
4.37,21703.48
4.38,21831.24
4.39,21960.88
4.4,22092.07
4.41,22222.11
4.42,22350.46
4.43,22486.17
4.44,22619.64
4.45,22749.1
4.46,22882.49
4.47,23011.1
4.48,23148.36
4.49,23281.98
4.5,23415.8
4.51,23547.3
4.52,23683.06
4.53,23819.75
4.54,23955.48
4.55,24091.84
4.56,24228.02
4.57,24365.16
4.58,24501.52
4.59,24640.69
4.6,24778.23
4.61,24916.48
4.62,25057.61
4.63,25196.29
4.64,25338.67
4.65,25480.35
4.66,25618.94
4.67,25762.01
4.68,25901.64
4.69,26046.72
4.7,26190.64
4.71,26331.98
4.72,26474.35
4.73,26616.39
4.74,26761.81
4.75,26907.09
4.76,27052.02
4.77,27197.52
4.78,27341.88
4.79,27486.27
4.8,27638.2
4.81,27784.23
4.82,27931.89
4.83,28077.84
4.84,28227.69
4.85,28381.61
4.86,28532.26
4.87,28679.79
4.88,28829.83
4.89,28978.32
4.9,29132.76
4.91,29284.38
4.92,29434.97
4.93,29587.62
4.94,29739.81
4.95,29892.51
4.96,30046.24
4.97,30200.95
4.98,30357.04
4.99,30510.45
5,30665.69
5.01,30819.04
5.02,30977.05
5.03,31134.3
5.04,31291.81
5.05,31449.39
5.06,31605.23
5.07,31770.32
5.08,31928.01
5.09,32087.65
5.1,32247.69
5.11,32406.06
5.12,32566.16
5.13,32726.99
5.14,32888.88
5.15,33053.5
5.16,33215.16
5.17,33375.9
5.18,33539.98
5.19,33701.57
5.2,33867.87
5.21,34031.82
5.22,34195.74
5.23,34360.88
5.24,34522.96
5.25,34691.33
5.26,34859.15
5.27,35024.53
5.28,35191.96
5.29,35358.99
5.3,35526.7
5.31,35703.8
5.32,35872.8
5.33,36039.25
5.34,36210.86
5.35,36377.64
5.36,36551.79
5.37,36723.92
5.38,36894.85
5.39,37067.78
5.4,37237.48
5.41,37408.93
5.42,37584.92
5.43,37757.57
5.44,37931.74
5.45,38105.63
5.46,38281.76
5.47,38455.84
5.48,38631.25
5.49,38807.59
5.5,38985.78
5.51,39162.97
5.52,39339.04
5.53,39517.05
5.54,39697.45
5.55,39876.43
5.56,40060.73
5.57,40241.03
5.58,40421.62
5.59,40600.64
5.6,40781.4
5.61,40961.59
5.62,41145.09
5.63,41327.19
5.64,41511.24
5.65,41694.71
5.66,41873.32
5.67,42058.8
5.68,42244.73
5.69,42428.02
5.7,42615.16
5.71,42801.79
5.72,42987.44
5.73,43172.71
5.74,43360.11
5.75,43545.82
5.76,43735.53
5.77,43926.24
5.78,44111.45
5.79,44302.79
5.8,44491.17
5.81,44678.61
5.82,44875.64
5.83,45070.08
5.84,45262.26
5.85,45452.47
5.86,45642.43
5.87,45834.01
5.88,46028.62
5.89,46224.79
5.9,46414.91
5.91,46613.1
5.92,46807.7
5.93,47000.8
5.94,47195.23
5.95,47392.7
5.96,47590.85
5.97,47787.84
5.98,47984.35
5.99,48183.11
6,48380.86
6.01,48575.71
6.02,48773.58
6.03,48974.82
6.04,49177.86
6.05,49377.11
6.06,49577.31
6.07,49779.06
6.08,49979.24
6.09,50182
6.1,50392.81
6.11,50597.58
6.12,50800.51
6.13,51004.32
6.14,51206.55
6.15,51409.38
6.16,51613.96
6.17,51824.31
6.18,52030.35
6.19,52236.43
6.2,52442.11
6.21,52647.69
6.22,52857.27
6.23,53064.95
6.24,53272.34
6.25,53482.61
6.26,53691.93
6.27,53902.39
6.28,54111.71
6.29,54323.47
6.3,54534.2
6.31,54742.41
6.32,54956.71
6.33,55171.17
6.34,55382.84
6.35,55597.12
6.36,55810.81
6.37,56022.33
6.38,56234.43
6.39,56460.16
6.4,56678.7
6.41,56893.21
6.42,57112.83
6.43,57328.37
6.44,57543.61
6.45,57758.53
6.46,57980.48
6.47,58200.58
6.48,58421.24
6.49,58640.58
6.5,58858.82
6.51,59077.57
6.52,59299.3
6.53,59520.6
6.54,59739.47
6.55,59964.14
6.56,60186.26
6.57,60411.18
6.58,60631.93
6.59,60858.32
6.6,61079.13
6.61,61302.57
6.62,61528.14
6.63,61754.61
6.64,61982.26
6.65,62210.55
6.66,62435.45
6.67,62661
6.68,62889.19
6.69,63114.28
6.7,63354.53
6.71,63584.14
6.72,63815.87
6.73,64044.94
6.74,64274.02
6.75,64504.39
6.76,64731.68
6.77,64965.79
6.78,65200.24
6.79,65435.67
6.8,65667.72
6.81,65901.71
6.82,66132.88
6.83,66367.77
6.84,66600.92
6.85,66836.69
6.86,67071.08
6.87,67308.59
6.88,67545.14
6.89,67782.98
6.9,68020.45
6.91,68259.18
6.92,68497.75
6.93,68732
6.94,68969.07
6.95,69210.59
6.96,69454.87
6.97,69695.2
6.98,69937.91
6.99,70175.18
7,70416.04
7.01,70657.31
7.02,70901.94
7.03,71151.66
7.04,71400.15
7.05,71643.48
7.06,71887.09
7.07,72132.39
7.08,72374.23
7.09,72617.42
7.1,72865.02
7.11,73114.09
7.12,73364.08
7.13,73611.77
7.14,73859.39
7.15,74105.83
7.16,74351.19
7.17,74603.72
7.18,74851.04
7.19,75102.06
7.2,75351.61
7.21,75603.09
7.22,75855.49
7.23,76108.52
7.24,76361.14
7.25,76613.72
7.26,76863.86
7.27,77114.19
7.28,77367.09
7.29,77625.71
7.3,77881.59
7.31,78137.26
7.32,78394.2
7.33,78648.52
7.34,78903.8
7.35,79160.38
7.36,79416.29
7.37,79683.02
7.38,79946.3
7.39,80206.88
7.4,80467.02
7.41,80722.28
7.42,80984.49
7.43,81242.59
7.44,81500.39
7.45,81763.96
7.46,82029.83
7.47,82292.49
7.48,82557.82
7.49,82820.61
7.5,83085
7.51,83345.26
7.52,83609.41
7.53,83874.36
7.54,84139.01
7.55,84404.92
7.56,84670.04
7.57,84937.77
7.58,85204.62
7.59,85474.24
7.6,85740.06
7.61,86009.25
7.62,86276.73
7.63,86541.57
7.64,86810.6
7.65,87083.43
7.66,87358.5
7.67,87627.76
7.68,87899.46
7.69,88171.61
7.7,88442.16
7.71,88711.98
7.72,88983.32
7.73,89261.97
7.74,89544.28
7.75,89821.77
7.76,90097.91
7.77,90373.51
7.78,90648.36
7.79,90923.44
7.8,91196.3
7.81,91469.88
7.82,91752.34
7.83,92033.56
7.84,92313.48
7.85,92593.71
7.86,92872.71
7.87,93153.53
7.88,93429.23
7.89,93712.27
7.9,93994.26
7.91,94273.44
7.92,94552.8
7.93,94836.02
7.94,95118.23
7.95,95403.63
7.96,95686.66
7.97,95970.77
7.98,96255.96
7.99,96539.45
8,96821.22
8.01,97107.45
8.02,97390.34
8.03,97679.7
8.04,97971.55
8.05,98259.96
8.06,98547.34
8.07,98834.83
8.08,99122.63
8.09,99411.06
8.1,99698.47
8.11,99985.62
8.12,100284.88
8.13,100584.57
8.14,100877.27
8.15,101170.85
8.16,101462.72
8.17,101754.1
8.18,102047.23
8.19,102335.47
8.2,102629.9
8.21,102925.1
8.22,103224.49
8.23,103521.84
8.24,103818.12
8.25,104114.28
8.26,104409.88
8.27,104707.97
8.28,105004.15
8.29,105301.07
8.3,105600.28
8.31,105898.36
8.32,106195.89
8.33,106494.74
8.34,106794.59
8.35,107096.74
8.36,107394.73
8.37,107699.55
8.38,107999.8
8.39,108301.06
8.4,108600.92
8.41,108901.11
8.42,109205.16
8.43,109509.74
8.44,109816.35
8.45,110126.73
8.46,110430.42
8.47,110734.19
8.48,111039.97
8.49,111345.28
8.5,111650.01
8.51,111953.22
8.52,112260.52
8.53,112582.57
8.54,112896.38
8.55,113208.05
8.56,113517.23
8.57,113828.77
8.58,114136.32
8.59,114445.86
8.6,114755.17
8.61,115063.13
8.62,115376.81
8.63,115692.7
8.64,116007.71
8.65,116320.82
8.66,116636.86
8.67,116950.22
8.68,117262.67
8.69,117576.41
8.7,117892.43
8.71,118211.22
8.72,118527.39
8.73,118842.27
8.74,119156.7
8.75,119473.11
8.76,119791.62
8.77,120112.07
8.78,120431.59
8.79,120748.58
8.8,121068.84
8.81,121387.66
8.82,121705.79
8.83,122024.76
8.84,122342.52
8.85,122661.93
8.86,122987.29
8.87,123314.66
8.88,123639.78
8.89,123963.6
8.9,124288.92
8.91,124611.12
8.92,124933.45
8.93,125253.75
8.94,125576.26
8.95,125899.8
8.96,126238.42
8.97,126572.11
8.98,126903.03
8.99,127233.81
9,127560.95
9.01,127886.75
9.02,128215.8
9.03,128541.09
9.04,128868.32
9.05,129200.77
9.06,129532.34
9.07,129866.42
9.08,130195.77
9.09,130528.88
9.1,130863.38
9.11,131195.31
9.12,131527.47
9.13,131858.95
9.14,132193.16
9.15,132530.45
9.16,132863.84
9.17,133198
9.18,133533.39
9.19,133865.53
9.2,134203.05
9.21,134538.2
9.22,134874.91
9.23,135215.05
9.24,135551.66
9.25,135888.12
9.26,136227.86
9.27,136561.25
9.28,136899.81
9.29,137237.94
9.3,137574.55
9.31,137914.55
9.32,138261.7
9.33,138604.67
9.34,138946.53
9.35,139290.62
9.36,139632.27
9.37,139974.73
9.38,140312.77
9.39,140656.81
9.4,140994.83
9.41,141336.53
9.42,141699.28
9.43,142049.42
9.44,142397.25
9.45,142746.72
9.46,143095.39
9.47,143441.31
9.48,143789.72
9.49,144134.06
9.5,144479.12
9.51,144827.41
9.52,145182.09
9.53,145531.97
9.54,145882.56
9.55,146233.75
9.56,146582.69
9.57,146933.17
9.58,147286.8
9.59,147637.27
9.6,147990.27
9.61,148342.61
9.62,148696.95
9.63,149051.12
9.64,149405.06
9.65,149754.66
9.66,150108.56
9.67,150460.2
9.68,150816.09
9.69,151173.23
9.7,151528.81
9.71,151888.17
9.72,152242.97
9.73,152600.84
9.74,152955.91
9.75,153311.73
9.76,153666.81
9.77,154023.72
9.78,154377.12
9.79,154735.59
9.8,155101.66
9.81,155465.22
9.82,155827
9.83,156190.16
9.84,156551.38
9.85,156912.55
9.86,157272.47
9.87,157631.56
9.88,157992
9.89,158350.08
9.9,158720.81
9.91,159094.14
9.92,159464.33
9.93,159831.05
9.94,160197.36
9.95,160564.98
9.96,160932.12
9.97,161294.06
9.98,161661.78
9.99,162024.88
10,162393.77
10.01,162767.2
10.02,163140.86
10.03,163508.94
10.04,163878.31
10.05,164245.94
10.06,164615.36
10.07,164985.27
10.08,165354.88
10.09,165725.47
10.1,166099.14
10.11,166472.72
10.12,166842.66
10.13,167217.27
10.14,167590.22
10.15,167960.17
10.16,168331.2
10.17,168703.81
10.18,169073.06
10.19,169450.77
10.2,169825.7
10.21,170203.3
10.22,170577.91
10.23,170957.67
10.24,171330.09
10.25,171703.16
10.26,172078.77
10.27,172451.75
10.28,172826.86
10.29,173199.73
10.3,173574.7
10.31,173957.34
10.32,174340.75
10.33,174723.77
10.34,175105.09
10.35,175485.11
10.36,175867.91
10.37,176248.42
10.38,176624.47
10.39,177004.86
10.4,177382.81
10.41,177763.06
10.42,178154.56
10.43,178548.22
10.44,178933.44
10.45,179318.86
10.46,179705.98
10.47,180091.34
10.48,180474.83
10.49,180858.34
10.5,181246.41
10.51,181628.22
10.52,182014.78
10.53,182408.75
10.54,182797.09
10.55,183187.69
10.56,183577.09
10.57,183964.02
10.58,184353.5
10.59,184738.92
10.6,185127.14
10.61,185513.94
10.62,185904.67
10.63,186300.89
10.64,186690.64
10.65,187084.41
10.66,187474.55
10.67,187865.2
10.68,188257.08
10.69,188644.66
10.7,189032.77
10.71,189424.73
10.72,189815.45
10.73,190207.61
10.74,190601.67
10.75,190998.56
10.76,191395.44
10.77,191789.19
10.78,192182.98
10.79,192578.75
10.8,192970.83
10.81,193365.59
10.82,193759.48
10.83,194151.39
10.84,194542.2
10.85,194933.97
10.86,195334.75
10.87,195738.45
10.88,196138.42
10.89,196539.73
10.9,196939.44
10.91,197337.59
10.92,197735.75
10.93,198134.67
10.94,198532.55
10.95,198929.39
10.96,199326.22
10.97,199733.17
10.98,200148.77
10.99,200558.33
11,200960.67
11.01,201367.06
11.02,201768.19
11.03,202171.53
11.04,202572.2
11.05,202978.03
11.06,203381.91
11.07,203780.94
11.08,204189.77
11.09,204601.86
11.1,205013.45
11.11,205419.78
11.12,205829.39
11.13,206234.72
11.14,206641.97
11.15,207044.59
11.16,207452.08
11.17,207858.09
11.18,208265.52
11.19,208674.42
11.2,209088.94
11.21,209499.03
11.22,209908.11
11.23,210318.19
11.24,210727.11
11.25,211134.5
11.26,211542.23
11.27,211950.11
11.28,212359.95
11.29,212768.89
11.3,213177.66
11.31,213583.97
11.32,213995.81
11.33,214409.11
11.34,214821.58
11.35,215237.17
11.36,215648.67
11.37,216063.06
11.38,216472.83
11.39,216887.3
11.4,217296.58
11.41,217706.06
11.42,218118.72
11.43,218529.86
11.44,218941
11.45,219358.2
11.46,219777.75
11.47,220196.66
11.48,220612.81
11.49,221034.2
11.5,221446.3
11.51,221863.33
11.52,222281.89
11.53,222698.73
11.54,223111.12
11.55,223526.84
11.56,223940.81
11.57,224382.06
11.58,224811.17
11.59,225234.23
11.6,225656.84
11.61,226079.11
11.62,226498.23
11.63,226920.95
11.64,227339.91
11.65,227761.11
11.66,228182.06
11.67,228599.45
11.68,229031.38
11.69,229460.23
11.7,229888.39
11.71,230314.56
11.72,230740.89
11.73,231163.81
11.74,231585.89
11.75,232008.64
11.76,232431.7
11.77,232853.62
11.78,233276.92
11.79,233702.23
11.8,234127.58
11.81,234556.47
11.82,234983.73
11.83,235412.22
11.84,235838.19
11.85,236265.28
11.86,236689.2
11.87,237117.28
11.88,237543.75
11.89,237971.5
11.9,238395.44
11.91,238822
11.92,239246.81
11.93,239672.86
11.94,240095.72
11.95,240522.16
11.96,240951.8
11.97,241380.44
11.98,241811.8
11.99,242239.55
12,242667.98
12.01,243100.05
12.02,243529.17
12.03,243954.5
12.04,244384.2
12.05,244812.89
12.06,245238.62
12.07,245664.27
12.08,246093.95
12.09,246531.88
12.1,246969.44
12.11,247403.34
12.12,247839.19
12.13,248269.75
12.14,248702.48
12.15,249134.06
12.16,249566.48
12.17,249999.33
12.18,250431.02
12.19,250861.8
12.2,251294.73
12.21,251755.94
12.22,252198.55
12.23,252640.12
12.24,253081.97
12.25,253517.88
12.26,253957.06
12.27,254392.14
12.28,254829.19
12.29,255265.2
12.3,255699.45
12.31,256135.47
12.32,256578.45
12.33,257021.59
12.34,257465.33
12.35,257909.84
12.36,258353.59
12.37,258793.12
12.38,259232.39
12.39,259673.02
12.4,260112.14
12.41,260550.14
12.42,260988.86
12.43,261429.75
12.44,261873.05
12.45,262312.53
12.46,262752.47
12.47,263192.12
12.48,263630.5
12.49,264073.19
12.5,264510.47
12.51,264948.59
12.52,265394
12.53,265837.06
12.54,266278.56
12.55,266720.94
12.56,267160.06
12.57,267602.44
12.58,268043.31
12.59,268483.78
12.6,268923.06
12.61,269363.34
12.62,269803.12
12.63,270242.38
12.64,270685.69
12.65,271130.28
12.66,271573.72
12.67,272018.81
12.68,272460.59
12.69,272904.31
12.7,273349.53
12.71,273791.97
12.72,274234.59
12.73,274677.03
12.74,275118.81
12.75,275559.25
12.76,276000.47
12.77,276445.88
12.78,276900.12
12.79,277348.28
12.8,277798.81
12.81,278246.5
12.82,278696.59
12.83,279141.91
12.84,279587.56
12.85,280036.41
12.86,280481.94
12.87,280926.38
12.88,281372.62
12.89,281816.47
12.9,282286.62
12.91,282747.25
12.92,283207.53
12.93,283662.44
12.94,284113.66
12.95,284568.44
12.96,285021.62
12.97,285470.56
12.98,285921.59
12.99,286371
13,286821.38
13.01,287273.94
13.02,287732.94
13.03,288191.19
13.04,288647.16
13.05,289100.19
13.06,289552.41
13.07,290003.59
13.08,290454.78
13.09,290907.56
13.1,291358.5
13.11,291808.06
13.12,292264
13.13,292718.44
13.14,293173.62
13.15,293629.31
13.16,294084.97
13.17,294535.12
13.18,294988.88
13.19,295438.38
13.2,295889.12
13.21,296340.12
13.22,296790.12
13.23,297245.16
13.24,297697.19
13.25,298151.19
13.26,298606.44
13.27,299058.62
13.28,299511.72
13.29,299964.09
13.3,300418.31
13.31,300870.34
13.32,301323.69
13.33,301777.41
13.34,302227.94
13.35,302681.34
13.36,303130.28
13.37,303581.56
13.38,304033.66
13.39,304487.88
13.4,304942.44
13.41,305400.84
13.42,305857.25
13.43,306311.91
13.44,306765.44
13.45,307221.75
13.46,307677.84
13.47,308128.34
13.48,308583.5
13.49,309036.69
13.5,309488.03
13.51,309941.69
13.52,310391.28
13.53,310853.97
13.54,311317.38
13.55,311780.06
13.56,312242.47
13.57,312702.34
13.58,313161.84
13.59,313620.19
13.6,314078.88
13.61,314537.59
13.62,314997.47
13.63,315453.41
13.64,315914.25
13.65,316371.78
13.66,316855.91
13.67,317327.31
13.68,317794.38
13.69,318260.03
13.7,318720.91
13.71,319183.28
13.72,319646.25
13.73,320106.12
13.74,320567.09
13.75,321026.56
13.76,321486.88
13.77,321949.25
13.78,322420.31
13.79,322888.91
13.8,323354.88
13.81,323819.5
13.82,324282.66
13.83,324744.53
13.84,325205.81
13.85,325667.03
13.86,326124.78
13.87,326581.84
13.88,327043.62
13.89,327507.97
13.9,327971.97
13.91,328435.31
13.92,328896.47
13.93,329358.47
13.94,329820.09
13.95,330280.09
13.96,330742.91
13.97,331200.28
13.98,331662.16
13.99,332123.06
14,332584.09
14.01,333044.84
14.02,333506.28
14.03,333965.75
14.04,334423.5
14.05,334881.59
14.06,335341.56
14.07,335800.06
14.08,336262.81
14.09,336726.34
14.1,337188.88
14.11,337648
14.12,338110.34
14.13,338569
14.14,339030.31
14.15,339489.38
14.16,339951
14.17,340409.91
14.18,340868.66
14.19,341327.72
14.2,341786.53
14.21,342244.84
14.22,342703
14.23,343167.06
14.24,343631.38
14.25,344095.44
14.26,344556.97
14.27,345020.94
14.28,345482.78
14.29,345945.16
14.3,346407.56
14.31,346869.66
14.32,347330.94
14.33,347791.12
14.34,348253.12
14.35,348713.5
14.36,349179
14.37,349652.22
14.38,350123.59
14.39,350592.94
14.4,351058.91
14.41,351526.94
14.42,351993.94
14.43,352461.03
14.44,352926.53
14.45,353391.22
14.46,353855.09
14.47,354321.28
14.48,354784.31
14.49,355271.56
14.5,355751.56
14.51,356225.88
14.52,356697.56
14.53,357166.94
14.54,357636.09
14.55,358103.16
14.56,358571.66
14.57,359036.34
14.58,359502.06
14.59,359966.75
14.6,360429.81
14.61,360902.97
14.62,361375.75
14.63,361849.53
14.64,362315.88
14.65,362784.69
14.66,363252.53
14.67,363717.19
14.68,364183.78
14.69,364649.94
14.7,365113.28
14.71,365577.56
14.72,366044.53
14.73,366512.62
14.74,366983.09
14.75,367447.31
14.76,367913.91
14.77,368377.12
14.78,368840.34
14.79,369303.03
14.8,369764.94
14.81,370226.94
14.82,370693.62
14.83,371155.53
14.84,371620.66
14.85,372086.38
14.86,372550.84
14.87,373016.09
14.88,373479.09
14.89,373943.31
14.9,374406.03
14.91,374869.84
14.92,375334.38
14.93,375796.69
14.94,376256.75
14.95,376719.75
14.96,377181.41
14.97,377641.91
14.98,378103.38
14.99,378564.47
